Category,Name,ASIN,Seller,Date Shipped,Price($),Items Shipped,Returns,Revenue($),Ad Fees($)
Home Improvement,"Set of 2 Table Lamps for Bedroom, Bedside Touch Control Lamps with 2 USB Ports, Nightstand Table Lamp Set 3 Way Dimmable Lamps for Bedroom Living Room",B09N3PCWHN,3rd Party,08/09/2022 12:06,89.99,0,1,-89.99,-9
Health & Household,"SmartyPants Kids Formula Daily Gummy Multivitamin: Vitamin C, D3, and Zinc for Immunity, Gluten Free, Omega 3 Fish Oil (DHA/EPA), Vitamin B6, B12, 120",B004QQ9LVS,Amazon.com,08/09/2022 10:58,9.02,2,0,18.04,0.18
Business & Industrial Supplies,"[Pack Of 50] Black Disposable Face Mask, 3-Ply Adult Masks, Facial Cover with Elastic Earloops For Home, Office, School, and Outdoors",B09GNXJTKV,3rd Party,08/09/2022 10:45,4.99,2,0,9.98,0.3
Grocery & Gourmet Food,"SENSIBLE PORTIONS Organic Veggie Ranch Straws, 5 OZ",B07NSSPYT9,3rd Party,08/09/2022 09:36,4.45,1,0,4.45,0.04
Grocery & Gourmet Food,"365 by Whole Foods Market, Oranges Mandarin, 10.5 Ounce",B074H5J9R2,3rd Party,08/09/2022 09:36,1.29,1,0,1.29,0.01
Grocery & Gourmet Food,"365 by Whole Foods Market, Peaches Yellow Cling Slices Organic, 15 Ounce",B074H737VK,3rd Party,08/09/2022 09:36,2.39,1,0,2.39,0.02
Amazon Fresh Products,"365 by Whole Foods Market, Rice White Thai Jasmine Organic, 20 Ounce",B074H6R3Q4,3rd Party,08/09/2022 09:36,3.19,1,0,3.19,0.13
Amazon Fresh Products,"Mandarins, 3 lbs",B01M2VFYCN,3rd Party,08/09/2022 09:36,5.99,1,0,5.99,0.24
Home,"Halloween Decorations - Halloween Party Indoor Outdoor Decor Supplies , 56 PCS Reusable PVC 3D Decorative Scary Bats Wall Stickers Comes with Double S",B08D3X897K,3rd Party,08/09/2022 09:30,7.99,1,0,7.99,0.8
Home Improvement,"JONATHAN Y JYL7437B Pagoda Lantern Dimmable Adjustable Metal LED Pendant Classic Traditional Dining Room Living Room Kitchen Foyer Bedroom Hallway, 16",B07GY6HNQG,Amazon.com,08/09/2022 07:24,105.99,1,0,105.99,10.6
Kitchen & Dining,"ZVP Extra Large Cutting Board for Kitchen Set of 4, Plastic Chopping Boards with Knife, Easy Grip Handle, Juice Groove, BPA Free, Dishwasher Safe, Non",B096LX19DC,3rd Party,08/09/2022 07:07,24.99,1,0,24.99,2.5
Furniture,"Loloi II Layla Collection LAY-03 Olive / Charcoal, Traditional 2'-6"" x 7'-6"" Runner Rug",B07K1JR31S,Amazon.com,08/09/2022 06:45,48.12,1,0,48.12,4.81
Furniture,"Ropesmart 6-Shelf Hanging Closet Organizer Storage with 2 Drawers & Side Pocket, Two 3-Shelf Separable Hanging Storage Shelves for Closet & RV, Dorm R",B08R8BPN97,3rd Party,08/09/2022 03:27,30.59,1,0,30.59,3.06
Home,"Wood Chain Link Decor | Hand Boho Carved Decor for Table , Shelf Decor Accents Rustic Farmhouse Aesthetic 5 Link Chain Knot Decor, Home Living Room, B",B09H2SBTL8,3rd Party,08/09/2022 03:00,21.99,1,0,21.99,2.2
"Patio, Lawn & Garden",Knoikos Expandable Garden Hose 100ft -Expanding Water Hose with 10 Function Nozzle -Lightweight No-Kink Flexible Hose with Solid Fittings Durable 3-La,B09SCMXKL1,3rd Party,08/09/2022 02:52,32.29,1,0,32.29,3.23
Toys & Games,"IOKUKI Beach Bucket with Sand Sifter Cover, Sand Castle Toys for Beach with Sand Shovel and Rake – Toddler Beach Toys with Mesh Beach Bag for Travel 1",B0B593QH5N,3rd Party,08/09/2022 02:35,10.7,1,0,10.7,0.32
Toys & Games,Cat Construction Little Machines 5 Pack - Great Cake Toppers,B07T14FKRR,Amazon.com,08/09/2022 02:35,6.49,2,0,12.98,0.38
Home,2 Pack Turkish Throw Blanket Set - Multi Purpose Large Size Indoor Outdoor Blanket - Farmhouse Blanket Cover for Bed and Couch - 100% Cotton 65 x 84 i,B07H9GJGH3,3rd Party,08/09/2022 01:53,29.95,1,0,29.95,3
Clothing & Accessories,ALTHEANRAY Women’s Seamless Underwear No Show Panties Soft Stretch Bikini Underwears 6 Pack(3081L-color12),B07N36J72L,3rd Party,08/09/2022 01:37,25.99,0,1,-25.99,-1.04
Kitchen & Dining,"14 Pack, 6Oz Glass Spice Jars with Bamboo Lids, 14 Glass Food Storage Jars Containers with 14 Airtight Bamboo Lids,200 lables & 1 Funnel High Borosili",B09PFRZ5ZH,3rd Party,08/09/2022 00:15,28.99,1,0,28.99,2.9
Home Improvement,"Kitch Aroma Black flameless Candles, Battery Operated LED Pillar Candles with Moving Flame Wick with Remote Timer,Pack of 5",B076SQBPF6,3rd Party,08/09/2022 00:03,30.9,2,0,61.8,6.18
Home,RANDLANTER Outdoor Tablecloth with Zipper & Umbrella Hole Scratch Resistant/Splash Proof /Waterproof Tablecloth for Spring Summer Host Backyard Partie,B09TZR1QRM,3rd Party,07/09/2022 20:13,9.34,1,0,9.34,0.93
